nie polecam,"Po ponad dwóch tygodniach oczekiwania, zamówienie nie zosta³o wys³ane (zamówi³em jeden produkt). Produkt przez ten czas ca³y czas widnia³ jako dostepny z gwarancj¹ 24 godzinnej wysy³ki z magazynu (¿art). Po licznych kontaktach z dzia³em pomocy dowiadywa³em siê ¿e sprawa jest ponaglana i przekazywana do konkretnych dzia³ów. Jednak¿e rzekome dzia³y najwyraŸniej milcza³y w najlepsze i ¿adnej odpowiedzi nie raczy³y udzieliæ przez tydzieñ. Po tym jak us³ysza³em ¿e moje zamówienie zosta³o przydzielone po dwóch tygodniach do konkretnej osoby, która ma kolejne 2 tygodnie na odpowiedŸ co siê z tym zamówieniem wydarzy, podziêkowa³em, anulowa³em i teraz czekam (mo¿liwe ¿e kolejne 2 tygodnie, kto wie) a¿ media markt ³askawie zwróci mi pieni¹dze. Serdecznie odradzam. To co siê obecnie dzieje w tym sklepie to kpina i ostatnie opinie dobitnie to pokazuj¹. Mam nadziejê ¿e odbije siê to wam solidn¹ czkawk¹ MM."
nie polecam,"Zwykle nie piszê tego typu opinii a szczególnie negatywnych bo uwa¿am ¿e jest wystarczaj¹co du¿o trolli internetowych i jeszcze jeden jest zbêdny ALE ...
No w³aœnie. Brak s³ów na bezczelnoœæ obs³ugi tego sKlEpU jeœli mo¿na tak powiedzieæ. Jak mo¿na wys³aæ komuœ u¿ywane s³uchawki za ponad 1000 z³. To ¿e pude³ko otwarte, jak ""psu z gard³a"" nie obra¿aj¹c ¿adnego psa, to pó³ biedy. S³uchawki w stanie op³akanym ; brudne ; podrapane nawet ³askawca nie wy³¹czy³ przed wrzuceniem do pud³a. Nie wiem czy to ¿e na kartonie naklei³ ""towar ekspozycyjny"" mia³o stanowiæ usprawiedliwienie czy rozgrzeszenie ale trzeba chyba zapytaæ samego ³askawcê. S³ynna reklama tej sieci nabiera³a dla mnie nowego znaczenia bo poczu³em siê w³aœnie jak ten idiota, który da³ siê naci¹gn¹æ jak ma³e dziecko. Od dziœ NIGDY WIÊCEJ. Choæby rozdawali za darmo albo wymyœlili jakieœ przewspania³e talony na bony albo inny naci¹gany trick. Po porostu nie. I jeszcze teraz czytam opinie innych naci¹gniêtych i naprawdê nie jest mi ju¿ do œmiechu bo to ja jestem takim samym frajerem. I nie chodzi o ten tysi¹c z³otych tylko o sam fakt jak mog³em byæ takim naiwniakiem. Sam nie wiem. Telewizji ju¿ nie ogl¹dam od d³u¿szego czasu a jednak znowu da³em siê naci¹gn¹æ. No có¿. Mam nadziejê ¿e mój wpis bêdzie przestrog¹ choæby dla jednej osoby ¿eby tu nie kupowaæ."
nie polecam,"26.3 dokona³am zakupu w sklepie internetowym Media Markt (p³atnoœæ przelewem). Informacja na stronie internetowej potwierdzala, ¿e w czasie pandemii, dostawy s¹ realizowane na wskazany adres.  Po potwierdzeniu zamówienia i p³atnoœci, otrzyma³am informacjê, ¿e zakupiony produkt nie bêdzie dostarczony pod wskazany przeze mnie adres, ale do odebrania w sklepie stacjonarnym. Ze wzglêdu na pandemiê, nie by³o to rozwi¹zanie satysfakcjonuj¹ce dla mnie, dlatego w dniu 30.3 odst¹pi³am od umówy, wysy³aj¹c pismo do sklepu internetowego media markt. Oczywiœcie potwierdzenie otrzymania mojej rezygnacji otrzyma³am w formie elektronicznej. Na stronie internetowej media markt informacja nt. odst¹pienia od umowy zapewnia 14 dni na zwrot œrodków na konto. Do dnia dzisiejszego minê³o 30 dni, œrodki nie zosta³y zwrócone, na moje wiadomoœci drog¹ elektroniczn¹ (mail) oraz wiadomoœci (messanger) media markt nie odpowiada. W dniu dzisiejszym dodzwoni³am siê, niestety okaza³o siê, ¿e moj¹ spraw¹ nikt siê nie zajmuje i w systemie nie ma ¿adnej informacji nt. terminu zwrotu œrodków. Nie polecam, to moje ostatnie zakupy dokonane w media markt, mam nadziejê, ¿e ten wpis pozwoli uchroniæ inne osoby przed robieniem zakupów w tym sklepie."
polecam,Szybko i ok
nie polecam,"Szkoda czasu nie polecam, czeka³em na produkt 1 miesi¹c i po tym czasie dosta³em e-maila ze nie maj¹ go w magazynach i zwróc¹ mi pieni¹dze , po tym czasie produkt ju¿ zdro¿a³ o kilkadziesi¹t z³otych"
polecam,bez problemów
polecam,Szybka dostawa towar zgodny z opisem
polecam,"Szybko i sprawnie, mi³o :-)"
polecam,"Wszystko bez problemu. Zamówiony towar (telefon) w oryginalnym opakowaniu, zaplombowany."
polecam,"Pe³ny profesjonalizm.
Przesy³ka dotar³a nawet szybciej ni¿ przypuszcza³am.
Wszystko zgodne z opisem.
Polecam"
nie polecam,"Ocena ZERO
Nigdy nie polecam!!!! Numer zamówienia 31416757. Kupowa³am myszkê do komputera. Towar przyszed³ nie czynny. Ponad 2 tygodni telefonowa³a na liniê sklepu z pytaniami ¿e mi czyniæ?? Ca³e mówi³y ¿e mi powinni dzwoniæ jeszcze raz konsultanci sklepu. Tak nikt i nie telefonowa³. Odprawi³am towar pod adres sk¹d ona nadesz³a z skarg¹. Czekam na powrót kosztów. Nikt nie zadzwoni³ i nie powiedzia³ czy otrzymali oni wstecz czy nie. Wiêkszej nieodpowiedzialny moja jeszcze nie spotyka³am. Jak mo¿na przeprowadzaæ tak politykowi sklepu!?? Ja miesi¹c siadujê w oczekiwaniu. jak tak mo¿na oszukiwaæ ludzi w taki ciê¿kie czasy!!!!!!"
polecam,Wszystko odby³o siê bardzo sprawnie Towar dotar³ bez zarzutu
polecam,Szybka realizacja i towar zgodny z zamówieniem w dobrej cenie. Jak na razie bez zarzutu.
polecam,WSZYSTKO ODBY£O SIÊ ZGODNIE Z OFERT¥ I OPISEM.
polecam,polecam
nie polecam,"Najgorszy sklep na jaki trafi³em. Totalny dramat, po 2 tygodniach od z³o¿enia zamówienia, 2 telefonach na infolinie nadal nie wiem kiedy dostanê zamówienia. OdpowiedŸ na pytanie o termin dostawy na infolinii: ""Poproszê kogoœ kto wie kiedy dostanie Pan towar o kontakt z Panem""... no i nikt nie dzwoni nie pisze... bo chyba nie wiedz¹"
